🍎地方综合,#genre#
【海绵宝宝】24H在线连播，一起看更精彩,http://zzy789.xyz/bili.php?id=6264785
海绵宝宝妙妙屋,http://zzy789.xyz/bili.php?id=23600820
迪士尼经典动画,http://zzy789.xyz/bili.php?id=24489519
【蜡笔小新】国语高清，24小时直播哦！,http://zzy789.xyz/bili.php?id=10375360
【蜡笔小新】绝版画质,http://zzy789.xyz/bili.php?id=21570935
蜡笔小新24h睡觉背景音,http://zzy789.xyz/bili.php?id=11579951
【蜡笔小新】你回来了～,http://zzy789.xyz/bili.php?id=22804740
蜡笔小新,http://zzy789.xyz/bili.php?id=1895574
【蜡笔小新】24小时无限大放送,http://zzy789.xyz/bili.php?id=21333965
涂糊涂的蜡笔小新,http://zzy789.xyz/bili.php?id=49132
【蜡笔小新】高清国语24h直播,http://zzy789.xyz/bili.php?id=22356720
蜡笔小新国语轮播,http://zzy789.xyz/bili.php?id=22765729
【蜡笔小新】国语高清，24小时直播哦！,http://zzy789.xyz/bili.php?id=23684726
野原新之助蜡笔小新新番24H随机播放,http://zzy789.xyz/bili.php?id=21507503
[蜡笔小新]高清国语24小时轮播,http://zzy789.xyz/bili.php?id=22683218
【日语配音】24H陪你看蜡笔小新~,http://zzy789.xyz/bili.php?id=24609114
蜡笔小新剧场版【高清】【测试】,http://zzy789.xyz/bili.php?id=7441943
你回来了-【蜡笔小新】,http://zzy789.xyz/bili.php?id=24872140
蜡笔小新全集高清在线24h播放,http://zzy789.xyz/bili.php?id=23190944
【蜡笔小新】进来看电影了喂～,http://zzy789.xyz/bili.php?id=22693306
柯南和蜡笔小新轮播高清国语,http://zzy789.xyz/bili.php?id=23000636
【高清】522蜡笔小新陪你一起过！,http://zzy789.xyz/bili.php?id=24882087
名侦探柯南（主要剧情随缘播）,http://zzy789.xyz/bili.php?id=181453
【国语超清】犬夜叉-乱马-童年向轮播,http://zzy789.xyz/bili.php?id=11224983
童年回忆杀!国语犬夜叉!24h不间断直播,http://zzy789.xyz/bili.php?id=23089518
国语高达,http://zzy789.xyz/bili.php?id=22834365
中华小当家/中华一番东方零食总部,http://zzy789.xyz/bili.php?id=655291
四驱兄弟/爆走兄弟WGPMAX,http://zzy789.xyz/bili.php?id=10544270
飞哥与小佛,http://zzy789.xyz/bili.php?id=5759023
飞出个未来Futurama蓝光下饭神剧,http://zzy789.xyz/bili.php?id=1954990
动画电影专场只有想不到没有找不到,http://zzy789.xyz/bili.php?id=23153930
动画狂欢曲-芭比,http://zzy789.xyz/bili.php?id=662181
童年回忆丨守护甜心丨全三季轮播,http://zzy789.xyz/bili.php?id=14434
开心汉堡店怪诞小镇24h轮播,http://zzy789.xyz/bili.php?id=2308015
经典番剧/动漫/剧场版24时轮播,http://zzy789.xyz/bili.php?id=21751462
开心超人联盟（开心宝贝）童年版,http://zzy789.xyz/bili.php?id=11606075
童年回忆X百变小樱7X24最全资源轮播,http://zzy789.xyz/bili.php?id=34340
【爷青回】中华小子25x8不间断直播,http://zzy789.xyz/bili.php?id=22194340
经典动漫（推理、童年、灵异）,http://zzy789.xyz/bili.php?id=4089143
咱们裸熊！24小时循环直播！,http://zzy789.xyz/bili.php?id=11168667
经典特摄剧登场,http://zzy789.xyz/bili.php?id=24781991
动画＆电影合集，随缘播放,http://zzy789.xyz/bili.php?id=24511160
【游戏王】今天一起看V6,http://zzy789.xyz/bili.php?id=23891000
童年回忆-喜羊羊与灰太狼-周星驰-林正英,http://zzy789.xyz/bili.php?id=25060711
?经典动漫播不停?,http://zzy789.xyz/bili.php?id=21395123
LexBurner,http://zzy789.xyz/bili.php?id=11365
-猫大人-,http://zzy789.xyz/bili.php?id=723

????斗鱼,#genre#
【刘德华】庆祝华仔出道40周年,http://zzy789.xyz/douyu1.php?id=2516864
【林正英】僵尸+女鬼+弹幕+护体,http://zzy789.xyz/douyu1.php?id=218859
【成龙】一个能打的都没有+duang~,http://zzy789.xyz/douyu1.php?id=10395969
【牛叔】N分钟带你看完大片,http://zzy789.xyz/douyu1.php?id=2758565
【小鸽陪看】华语热门影剧,http://zzy789.xyz/douyu1.php?id=3928
【贝爷影厅】欧美+日韩+国产+2号厅,http://zzy789.xyz/douyu1.php?id=36337
〖小瑟瑟西天取经房1〗86版+续集,http://zzy789.xyz/douyu1.php?id=5472438
口音贼重的解说动画,http://zzy789.xyz/douyu1.php?id=9734098
【女神金】今天双倍亲密度！来升牌子啦！,http://zzy789.xyz/douyu1.php?id=747764
【动画】最全斗牌、麻将剧集解说,http://zzy789.xyz/douyu1.php?id=9559158
【s1134】经典+科幻+动作+灾难,http://zzy789.xyz/douyu1.php?id=248753
?双倍亲密度开钻粉吧?,http://zzy789.xyz/douyu1.php?id=7925840
??冰冰??恐怖/经典/搞笑陪你一起,http://zzy789.xyz/douyu1.php?id=74374
??悍匪技术学院??。。。。,http://zzy789.xyz/douyu1.php?id=922564
【果条】偶尔陪看,http://zzy789.xyz/douyu1.php?id=6785471
「橙記」「最人气港剧直播间」,http://zzy789.xyz/douyu1.php?id=4549169
【动画】片荒的时候看片片,http://zzy789.xyz/douyu1.php?id=4258555
天津吃腰子跳伦巴的王,http://zzy789.xyz/douyu1.php?id=6899895
最新奇幻电影解说-宇宙无敌韩三金,http://zzy789.xyz/douyu1.php?id=3194372
【粤语电影】吴孟达+达叔+周星驰+经典,http://zzy789.xyz/douyu1.php?id=1226741
清汤寡之情景喜剧,http://zzy789.xyz/douyu1.php?id=3980787
傲娇的超级赛亚人的直播间,http://zzy789.xyz/douyu1.php?id=4373285
【万合天宜】王大锤情怀上线,http://zzy789.xyz/douyu1.php?id=9220456
【超清2】热门港剧天地,http://zzy789.xyz/douyu1.php?id=5522351
动画“柯”学，西瓜讲柯南的案件~,http://zzy789.xyz/douyu1.php?id=9065082
【贝贝】军旅+历史+喜剧+动作,http://zzy789.xyz/douyu1.php?id=431460
经典武侠解说,http://zzy789.xyz/douyu1.php?id=9649681
??怡寳??++国民女友陪看,http://zzy789.xyz/douyu1.php?id=434971
【周末】速进！新片放映中！,http://zzy789.xyz/douyu1.php?id=3637765
【恐怖影厅】胆小勿入,http://zzy789.xyz/douyu1.php?id=3637726
【虫哥】魔吐槽童年回忆,http://zzy789.xyz/douyu1.php?id=8915074
【1900影剧室】经典战争电影,http://zzy789.xyz/douyu1.php?id=7796193
【科幻片】最专业的科幻片解说,http://zzy789.xyz/douyu1.php?id=9338839
【科幻Fans】精彩科幻影，解说连连看,http://zzy789.xyz/douyu1.php?id=3508304
【动画】+解说+爷青回！,http://zzy789.xyz/douyu1.php?id=9446706
开心锤锤动画！,http://zzy789.xyz/douyu1.php?id=9018297
斗鱼友最爱看的电影都在这了,http://zzy789.xyz/douyu1.php?id=10240553
[兔兔陪看]今天双倍亲密度哦,http://zzy789.xyz/douyu1.php?id=1504768
迷小雅最新爽剧解说,http://zzy789.xyz/douyu1.php?id=9639225
?神乐?华语+经典+电影+沈腾+周星驰,http://zzy789.xyz/douyu1.php?id=85894
已更新！星君带你看大片,http://zzy789.xyz/douyu1.php?id=8014467
适合晚上听~~,http://zzy789.xyz/douyu1.php?id=10650322
【青铜椁】大道龙行自有真_飘忽隐现是龙身,http://zzy789.xyz/douyu1.php?id=9292503
已更新！聊聊武侠与江湖,http://zzy789.xyz/douyu1.php?id=8986636
【庆帝】云淡风轻正闲处，鲜衣怒马少年时,http://zzy789.xyz/douyu1.php?id=7489563
?丸子?经典国产大片，24小时看不停,http://zzy789.xyz/douyu1.php?id=8986148
【龙门】天山勾地火，宝塔镇蛇妖,http://zzy789.xyz/douyu1.php?id=9650860
【豆瓣高分】动画,http://zzy789.xyz/douyu1.php?id=8770422
【喜剧】经典喜剧专场,http://zzy789.xyz/douyu1.php?id=9650887
2021年度影评-美人如玉剑如虹,http://zzy789.xyz/douyu1.php?id=10395989
战斗吧！动画,http://zzy789.xyz/douyu1.php?id=9641152
【贝爷MAX厅】科幻+动作+经典+喜剧,http://zzy789.xyz/douyu1.php?id=4332
漫威、科幻作品逐帧解析,http://zzy789.xyz/douyu1.php?id=10494168
2021年度影评-惜取眼前人,http://zzy789.xyz/douyu1.php?id=10395991
【雍正、杨贵妃】剧集精讲,http://zzy789.xyz/douyu1.php?id=9660127
【贝爷影厅】经典+科幻+动作+灾难+巨兽,http://zzy789.xyz/douyu1.php?id=252802
【动画电影】童年回忆,http://zzy789.xyz/douyu1.php?id=10395973
周扒片动画深度解说,http://zzy789.xyz/douyu1.php?id=6434857
【贤于葛格】最会讲电影的贤于来啦,http://zzy789.xyz/douyu1.php?id=9461990
舔狗波比动画,http://zzy789.xyz/douyu1.php?id=7620081
你玩过的恐怖游戏成电影啦！,http://zzy789.xyz/douyu1.php?id=10401446
??可乐??电影+欧美+科幻+经典,http://zzy789.xyz/douyu1.php?id=20415
游戏剧情系列/恐怖/主机/通关,http://zzy789.xyz/douyu1.php?id=10401475
你好你好你好+7494871,http://zzy789.xyz/douyu1.php?id=7494871
【雍正康熙】帝王故事连连看,http://zzy789.xyz/douyu1.php?id=4808115
【枪战】枪神在此，无敌,http://zzy789.xyz/douyu1.php?id=10240510
【悬疑】午夜惊悚乐园，点上关注带你探险！,http://zzy789.xyz/douyu1.php?id=9075333
下次直播再见，搞笑解说就看文西与阿漆,http://zzy789.xyz/douyu1.php?id=8737695
飞社长日本二次元探秘,http://zzy789.xyz/douyu1.php?id=524757
【小宇60帧】宝！4倍亲密度了！,http://zzy789.xyz/douyu1.php?id=323876
荒野求生纪录片小天地,http://zzy789.xyz/douyu1.php?id=9661369
生物全部变异动画，少年化身成恶魔,http://zzy789.xyz/douyu1.php?id=9391292
小时候的经典又来了,http://zzy789.xyz/douyu1.php?id=710673
漫威迷集合,http://zzy789.xyz/douyu1.php?id=1713615
楠者电影，最会讲电影的人,http://zzy789.xyz/douyu1.php?id=9485398
【宇哥】极限惊悚，无限反转,http://zzy789.xyz/douyu1.php?id=8651489
【小片片】国产经典剧集专属直播间,http://zzy789.xyz/douyu1.php?id=10011547
宇宙的尽头是什么？,http://zzy789.xyz/douyu1.php?id=9456028
中二日记搞笑动画,http://zzy789.xyz/douyu1.php?id=9505575
长片短解，精彩的电影都有,http://zzy789.xyz/douyu1.php?id=9410946
刘哔讲电影，东北话解说嘎嘎强,http://zzy789.xyz/douyu1.php?id=2632223
来呀官人，都是你的梦,http://zzy789.xyz/douyu1.php?id=9986305

????哔哩,#genre#
mini辣椒酱+【神断狄仁杰】火热轮播中,http://106.53.212.251/daili/bili.php?id=22621344
不爱吃豆豆的豆豆+【蜡笔小新】动画,http://106.53.212.251/daili/bili.php?id=22804740
砒霜vs哈啤1900+【DYS】郭德纲于谦+...,http://106.53.212.251/daili/bili.php?id=308438
耀祖哥+4K+孙悟空+游记+全网最清晰版本！,http://106.53.212.251/daili/bili.php?id=23150921
老公BV+【周星驰】喜剧+动作+僵尸+24H,http://106.53.212.251/daili/bili.php?id=47917
橙子影1,http://106.53.212.251/daili/bili.php?id=23318788
橙子影2,http://106.53.212.251/daili/bili.php?id=21571201
橙子影3,http://106.53.212.251/daili/bili.php?id=23318768
橙子影4,http://106.53.212.251/daili/bili.php?id=23320714
橙子影4,http://253iptv.ml/zhibo/bili.php?id=23320714
橙子影3,http://253iptv.ml/zhibo/bili.php?id=23318768
橙子影2,http://253iptv.ml/zhibo/bili.php?id=21571201
橙子影1,http://253iptv.ml/zhibo/bili.php?id=23318788
我丶好期待+纯音乐馆,http://106.53.212.251/daili/bili.php?id=157901
动画+樱桃小丸子国语台配,http://106.53.212.251/daili/bili.php?id=11765640
702放映厅+迷茫看★士兵突击蓝光原版轮播7...,http://106.53.212.251/daili/bili.php?id=11344693
石头博士阿呆+蜡笔小新24h动画,http://106.53.212.251/daili/bili.php?id=11579951
F是益生菌+【一切随缘】动画，素质弹幕,http://106.53.212.251/daili/bili.php?id=27844
奥义大叔+【极致画质】经典粤语,http://106.53.212.251/daili/bili.php?id=21515763
有只社畜+【国语周】周星驰+林正英+喜剧+童...,http://106.53.212.251/daili/bili.php?id=2982619
看纳豆的魔鬼天使+永葆童真！国语DVD原版正...,http://106.53.212.251/daili/bili.php?id=23656786
tiger霸气哥+【霸气画质】终极三国,http://106.53.212.251/daili/bili.php?id=24445564
动画+中华小当家/中华一番+FH...,http://106.53.212.251/daili/bili.php?id=655291
熊猫5823589+周星驰成龙林正英王晶刘德...,http://106.53.212.251/daili/bili.php?id=21448296
康熙放映厅+康熙微服私访记1_3_刘罗锅,http://106.53.212.251/daili/bili.php?id=13374466
盐鸭爱跳舞+【动画】蜡笔小新剧场版哦~,http://106.53.212.251/daili/bili.php?id=22693306
班长lCc+【哆啦A梦】旧版全集,http://106.53.212.251/daili/bili.php?id=1717236
蕃薯粥煮好了+七十二家房客,http://106.53.212.251/daili/bili.php?id=23674204
初OvO心+雍正王朝九子夺嫡,http://106.53.212.251/daili/bili.php?id=21205932
大宋提刑官轮播+大宋提刑官直播有礼物的送点谢...,http://106.53.212.251/daili/bili.php?id=21546991
小肥菜菜+林正英+僵尸+女鬼+经典+高能+电...,http://106.53.212.251/daili/bili.php?id=5226265
杨西柚的鱼甘酱+【经典电影】武侠+动作+喜剧...,http://106.53.212.251/daili/bili.php?id=21008253
钮祜禄大卫+动画狂欢曲_芭比,http://106.53.212.251/daili/bili.php?id=662181
小小贤爱咸菜+高画质/命中注定我爱你+恶作剧...,http://106.53.212.251/daili/bili.php?id=15083950
龍燚君+名侦探柯南（动画）,http://106.53.212.251/daili/bili.php?id=181453
动画+野原新之助+蜡笔小新新番24小时...,http://106.53.212.251/daili/bili.php?id=21507503
小X讲电影+林正英+僵尸+经典+轮播,http://106.53.212.251/daili/bili.php?id=2624614
为了修改词条+桑P+09,http://106.53.212.251/daili/bili.php?id=656689
拜托请把我捡回家吧+你的专属粤语房间！！,http://106.53.212.251/daili/bili.php?id=2504003
爱吃板栗的板栗君+炊事班的故事,http://106.53.212.251/daili/bili.php?id=21974731
CHDream+铁齿铜牙纪晓岚+有片头片尾勿...,http://106.53.212.251/daili/bili.php?id=22665698
仙乐思小酒保+【少帅】东北王张作霖,http://106.53.212.251/daili/bili.php?id=21687882
一起来看包青天+【蓝光】+看看猴哥打妖怪！齐...,http://106.53.212.251/daili/bili.php?id=2803563
一副键盘+龙门镖局1.5弹幕版,http://106.53.212.251/daili/bili.php?id=3039437
阿固子+自看老剧（不看勿扰）,http://106.53.212.251/daili/bili.php?id=3639200
雨轩yuuxin+哆啦A梦新番+动画,http://106.53.212.251/daili/bili.php?id=482946
新番连载酱+蜡笔小新动画,http://106.53.212.251/daili/bili.php?id=23190944
云端树+一起看终极三国+,http://106.53.212.251/daili/bili.php?id=301629
秦武安君+【大秦帝国】超清+24小时轮播+大...,http://106.53.212.251/daili/bili.php?id=11259274
别让我失了体面+案发现场轮播,http://106.53.212.251/daili/bili.php?id=8566972
凹凸boy+欢乐一笑轮播~小品相声,http://106.53.212.251/daili/bili.php?id=50937
君凝+动画,http://106.53.212.251/daili/bili.php?id=14434
望天的狮子+新白娘子传奇。24小时经典轮播,http://106.53.212.251/daili/bili.php?id=5960549
不烦人先森+动画,http://106.53.212.251/daili/bili.php?id=279430
动画+樱桃小丸子,http://106.53.212.251/daili/bili.php?id=11392177
小僵尸っ+【24H捉鬼】,http://106.53.212.251/daili/bili.php?id=22033743
登台号令威严+红楼梦_不同步，模糊的，清晰度...,http://106.53.212.251/daili/bili.php?id=5568482
好物good+嘘！别闹！地球人就要来了……,http://106.53.212.251/daili/bili.php?id=8176121
电喵大战皮卡丘+戴上耳机，音乐,http://106.53.212.251/daili/bili.php?id=397138
卿尽我心+一起来追呀,http://106.53.212.251/daili/bili.php?id=23229305
两个娃的大大+经典电影，文明观影！喜欢的点个...,http://106.53.212.251/daili/bili.php?id=24551837
果冻萌布丁+【林正英】+经典+24H,http://106.53.212.251/daili/bili.php?id=82997
bili_大雨瓢泼+锵锵三人行+伴你入眠,http://106.53.212.251/daili/bili.php?id=23900339
雍正王朝放映员+【雍正王朝】未切边4:3原版...,http://106.53.212.251/daili/bili.php?id=23979200
hi_mi_tsu_+画画+游戏+看散人+听...,http://106.53.212.251/daili/bili.php?id=132688
犹见如初+怀旧经典,http://106.53.212.251/daili/bili.php?id=22145508
奔跑蜗牛ing+下饭神漫动画,http://106.53.212.251/daili/bili.php?id=11889224
动画+海绵宝宝+央配,http://106.53.212.251/daili/bili.php?id=4355330
风家三郎+【国语】动画,http://106.53.212.251/daili/bili.php?id=14901318
黑司祭们+请关灯后食用！,http://106.53.212.251/daili/bili.php?id=20768
2b8430127169cb8f+24H+神...,http://106.53.212.251/daili/bili.php?id=7251976
莓酱菌+大宋提刑官+神断狄仁杰+少年包青天轮...,http://106.53.212.251/daili/bili.php?id=23499588
坂田银时的老婆+【24h轮播】金粉世家,http://106.53.212.251/daili/bili.php?id=5749539
怀念林正英僵尸鬼片+僵尸鼻祖【林正英】经典鬼...,http://106.53.212.251/daili/bili.php?id=3091485
Danny乀+87版红楼梦+完整版剧情,http://106.53.212.251/daili/bili.php?id=8412120
迷你波板糖+人活着就是江湖，粤语频道,http://106.53.212.251/daili/bili.php?id=6758755
Stanlett+【医馆笑传.全集】经典搞笑...,http://106.53.212.251/daili/bili.php?id=21070400
白马飞飞520+高清+情景经典,http://106.53.212.251/daili/bili.php?id=1127105
telepathy+龙门快递,http://106.53.212.251/daili/bili.php?id=5111549
起名字就要长一点+《铁齿铜牙纪晓岚》24小时...,http://106.53.212.251/daili/bili.php?id=23989703
冷月BOSS+灵异事件簿_小北&浅浅,http://106.53.212.251/daili/bili.php?id=21586546
Sakura丶樱子+动画【中华小子2K有...,http://106.53.212.251/daili/bili.php?id=22948790
芋泥啵啵biubiubiu+宝莲灯前传_微笑...,http://106.53.212.251/daili/bili.php?id=22524461
野口丸子y+樱桃小丸子动画,http://106.53.212.251/daili/bili.php?id=23242774
然间爱上+王子变青蛙/忘记你记得爱情,http://106.53.212.251/daili/bili.php?id=3712061
重庆的火锅也太辣了吖+炊事班的故事123,http://106.53.212.251/daili/bili.php?id=7969075
bellekrow+马氏一家专场+++粤语,http://106.53.212.251/daili/bili.php?id=24191026
素材葫芦+【炊事班的故事】超清1_3部全剧_...,http://106.53.212.251/daili/bili.php?id=451038
小影轮播频道+下一站幸福命中注定我爱你恶作...,http://106.53.212.251/daili/bili.php?id=3042179
Kaina_1016+咱们裸熊！动画,http://106.53.212.251/daili/bili.php?id=11168667
浦衣摇光+终极一家循环播放.,http://106.53.212.251/daili/bili.php?id=23017862
碳烤木糖醇+我们爱超管~祖国昌盛_民族万岁!,http://106.53.212.251/daili/bili.php?id=15053669
一郭好于德云社+郭德纲于谦秦霄贤刘筱亭相声无...,http://106.53.212.251/daili/bili.php?id=23997936
KZ大叔+经典动画漫（推理、童年、灵异）,http://106.53.212.251/daili/bili.php?id=4089143
五代剑崎+Z++++X++++D,http://106.53.212.251/daili/bili.php?id=765452
哆啦A梦的壁橱+哆啦A梦·动画,http://106.53.212.251/daili/bili.php?id=14745943
黄余0791+黄余奇趣电影赏,http://106.53.212.251/daili/bili.php?id=10513567
大话先生77+【动画】下饭爆笑剧，乌龙派...,http://106.53.212.251/daili/bili.php?id=23383426
真堂廚+ANIRADI_LIVE_MAIN,http://106.53.212.251/daili/bili.php?id=3161

????咪咕,#genre#
刘亦菲,http://117.148.179.165/PLTV/88888888/224/3221231787/index.m3u8?zmid
古天乐影院,http://117.148.179.176/PLTV/88888888/224/3221231645/index.m3u8?zmid
成龙作品集,http://117.148.179.163/PLTV/88888888/224/3221231687/index.m3u8?zmid
郭富城影院,http://117.148.179.152/PLTV/88888888/224/3221231688/index.m3u8?zmid
张国荣影院,http://117.148.179.177/PLTV/88888888/224/3221231790/index.m3u8?zmid
周润发影院,http://117.148.179.177/PLTV/88888888/224/3221231709/index.m3u8?zmid
周星驰影院,http://117.148.179.153/PLTV/88888888/224/3221231562/index.m3u8?zmid
吴京作品集,http://117.148.179.183/PLTV/88888888/224/3221231564/index.m3u8?zmid
葛优作品集,http://117.148.179.139/PLTV/88888888/224/3221231754/index.m3u8?zmid
刘德华影院,http://117.148.179.154/PLTV/88888888/224/3221231757/index.m3u8?zmid
TVB剧场,http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8?zmid
古龙作品集,http://117.148.179.165/PLTV/88888888/224/3221231657/index.m3u8?zmid
金庸频道,http://117.148.179.132/PLTV/88888888/224/3221231477/index.m3u8?zmid
每日科幻电影,http://117.148.179.165/PLTV/88888888/224/3221231568/index.m3u8?zmid
云上电影院,http://117.148.179.176/PLTV/88888888/224/3221231565/index.m3u8?zmid
僵尸剧场,http://117.148.179.165/PLTV/88888888/224/3221231742/index.m3u8?zmid
新片放映厅,http://117.148.179.165/PLTV/88888888/224/3221231640/index.m3u8?zmid
怀旧老片,http://117.148.179.146/PLTV/88888888/224/3221231513/index.m3u8?zmid
盗墓方法论,http://117.148.179.164/PLTV/88888888/224/3221231652/index.m3u8?zmid
午夜失眠剧场,http://117.148.179.141/PLTV/88888888/224/3221231516/index.m3u8?zmid
试胆大会,http://117.148.179.166/PLTV/88888888/224/3221231672/index.m3u8?zmid
高能烧脑时刻,http://117.148.179.169/PLTV/88888888/224/3221231504/index.m3u8?zmid
杨幂作品集,http://117.148.179.183/PLTV/88888888/224/3221231556/index.m3u8?zmid
爱情公寓,http://117.148.179.165/PLTV/88888888/224/3221231583/index.m3u8?zmid
4K剧场,http://117.148.179.161/PLTV/88888888/224/3221231624/index.m3u8?zmid
军旅剧场,http://117.148.179.145/PLTV/88888888/224/3221231585/index.m3u8?zmid
高分影院,http://117.148.179.182/PLTV/88888888/224/3221231699/index.m3u8?zmid
少林剧场,http://117.148.179.165/PLTV/88888888/224/3221231628/index.m3u8?zmid
红色谍战剧场,http://117.148.179.169/PLTV/88888888/224/3221231627/index.m3u8?zmid
神探狄仁杰,http://117.148.179.139/PLTV/88888888/224/3221231634/index.m3u8?zmid
黄金剧场,http://117.148.179.183/PLTV/88888888/224/3221231637/index.m3u8?zmid
追剧少女,http://117.148.179.179/PLTV/88888888/224/3221231643/index.m3u8?zmid
经典贺岁片,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8?zmid
每日荐影,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8?zmid
武侠剧场,http://117.148.179.165/PLTV/88888888/224/3221231763/index.m3u8?zmid
喜剧联盟,http://117.148.179.154/PLTV/88888888/224/3221231621/index.m3u8?zmid
明星大片,http://117.169.124.37:6610/ysten-businessmobile/live/mingxingdp/yst.m3u8?zmid
4K剧场,http://117.148.179.161/PLTV/88888888/224/3221231624/index.m3u8?zmid
体育足球,http://117.148.179.177/PLTV/88888888/224/3221231778/index.m3u8?zmid
周星驰,http://112.74.200.9:88/tv000000/m3u8.php?/migu/623338112/zmid
成龙电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/707671890/zmid
张国荣电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/707689526/zmid
吴京电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625681368/zmid
郭富城电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528330?zmid
古天乐电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198610/zmid
刘德华电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/659315648/zmid
周润发影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639526984/zmid
刘亦菲,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528386/zmid
杨幂影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625542372?zmid
古龙作品集,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528313/zmid
经典影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198751/zmid
金庸频道,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625774640?zmid
新片放映厅,http://112.74.200.9:88/tv000000/m3u8.php?/migu/619495952/zmid
高分影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198191/zmid
欢笑剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/623674859/zmid
盗墓方法论,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625525181/zmid
试胆大会,http://112.74.200.9:88/tv000000/m3u8.php?/migu/637483721/zmid
高能烧脑时刻,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625542365/zmid
咪咪云上电影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625703337/zmid
恶作剧 牛人,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528230/zmid
咪咪暑期剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198692/zmid
黄金剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625155140/zmid
军旅剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625643517/zmid
少林剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625526423/zmid
高清大片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/629943678/zmid
热剧联播,http://112.74.200.9:88/tv000000/m3u8.php?/migu/629943613/zmid
喜剧联盟,http://112.74.200.9:88/tv000000/m3u8.php?/migu/637444830?zmid
僵尸剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627033504/zmid
深夜失眠剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625759558/zmid
神探狄仁杰,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625574493/zmid
红色谍战剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/634274665/zmid
经典贺岁片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625774662/zmid

????YY,#genre#
周星驰,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=30633499
赌片 港片 动作,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=77869868
林正英鬼片500部,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353059120
林正英搞笑僵尸,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351505899
英叔全集电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353685311
【林正英】僵尸 鬼片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=30668277
【林正英】鬼片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=34229877
【周星驰】经典搞笑堵片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353881242
【周星驰】电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=38670875
【周星驰】经典搞笑电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=30633499
周星驰电,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=38670875
成龙,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=34460526
香港赌片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=29900720
发哥赌神电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=39589923
英叔全集经典鬼片,http://106.53.212.251/daili/yy.php?id=1354869861
好片看不停,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=28205255
武侠经典电影 ,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353587611
铁齿铜牙YY鸭,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=29249921
狄仁杰1-4部,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351755386
香港搞笑鬼片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1352227227
动画片莽荒纪,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1354930977
狄仁杰,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=36171593
电影 超好看,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=29460894
